"Id";"Title";"Volume";"Capacity";"ExtraProperties";"ConcurrencyStamp";"CreationTime";"CreatorId";"LastModificationTime";"LastModifierId";"IsDeleted";"DeleterId";"DeletionTime"
"15e816fd-770c-9570-0ef6-3a13412f9841";"1L";"1";"6";"{}";"5b688554f2284b0d94f28dbbaf2fbfd1";"2024-12-19 16:26:35.216328";NULL;NULL;NULL;"0";NULL;NULL
"2e76ab14-c231-e95e-b5d4-3a13412f9b95";"2L";"2";"3";"{}";"fa3bc7fe656b4648915c1aad2e640422";"2024-12-10 12:52:07.156186";NULL;NULL;NULL;"0";NULL;NULL
"546d4174-f673-63ed-58c1-3a13412f9841";"1.5L";"1.5";"3";"{}";"22ff3505bce445c38cd381f79eb99a25";"2024-12-19 16:26:35.216354";NULL;NULL;NULL;"0";NULL;NULL
"55e816fd-770c-9570-0ef6-3a13412f9841";"5L";"5";"1";"{}";"274a6f3a4d004f39b6e1dfc0325eb8fc";"2024-12-19 16:26:35.216401";NULL;NULL;NULL;"0";NULL;NULL
"65e816fd-770c-9570-0ef6-3a13412f9841";"6L";"6";"1";"{}";"94ae9109ae5745b3b31cade5321f2ea3";"2024-12-19 16:26:35.216420";NULL;NULL;NULL;"0";NULL;NULL
"a5e816fd-770c-9570-0ef6-3a13412f9841";"3L";"3";"1";"{}";"1bd6b5f314ac4fa587b4c46fa590f46c";"2024-12-19 16:26:35.216380";NULL;NULL;NULL;"0";NULL;NULL
"be76ab14-c231-e95e-b5d4-3a13412f9b95";"12L";"12";"1";"{}";"5faea5165c354e8fa25323ee3f6ce1b7";"2025-01-22 15:37:28.050183";NULL;NULL;NULL;"0";NULL;NULL
"ce66ab14-c231-e95e-b5d4-3a13412f9a95";".5L";"0.5";"6";"{}";"92d9967a4d1c472f93a34f946f4cd461";"2024-12-19 16:26:35.216043";NULL;NULL;NULL;"0";NULL;NULL
"fe76ab14-c231-e95e-b5d4-3a13412f9a95";".750L";"0.75";"6";"{}";"21adba2e02c949848604baf008103254";"2024-12-19 16:26:35.216187";NULL;NULL;NULL;"0";NULL;NULL
"fe76ab14-c231-e95e-b5d4-3a13412f9b95";".375L";"0.375";"6";"{}";"0c68d3535c554e9588200521e2b9827a";"2024-12-19 16:26:35.215834";NULL;NULL;NULL;"0";NULL;NULL
